continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
1,3,1,0,0.003444639135020221,0.893518518518519,4,0.17338566134837263,3,1,0
1,3,1,0,0.00017439108446341524,0.9166666666666679,2,0.013805892896401334,3,1,0
1,0,0,0,0.0016093805794766605,0.9259259259259274,4,0.3365934701890003,3,1,1
1,0,1,0,0.0036904475207400825,0.9305555555555554,4,0.02693792044427209,3,1,1
1,0,1,0,0.0038631777377324174,0.9537037037037042,4,0.2956840489126722,3,1,0
1,3,0,0,0.001064616048962373,0.9814814814814827,2,0.28067838489502545,3,1,0
2,3,1,0,0.13520291648327923,0.9212962962962976,3,0.15430212504550864,3,1,0
1,0,1,0,0.0016442587963693435,0.2731481481481488,3,0.001993223961502362,3,1,0
1,0,0,0,0.006274757305740788,0.8194444444444446,4,0.19875349867847492,3,1,0
2,0,0,0,0.0016276501216585422,0.8009259259259274,2,0.25746371951857777,3,0,1
1,3,1,0,0.00399770800288991,0.25,3,0.001534415476624699,0,1,0
1,0,1,0,0.0032885175927386875,0.9259259259259274,4,0.1089358937709749,3,1,0
1,3,0,0,0.008689658608691319,0.9814814814814827,4,0.10467813885116942,3,0,0
1,0,0,0,0.003447976875615003,0.9490740740740744,2,0.0015597655962589958,0,1,1
5,0,0,0,0.0024298491101902523,0.9490740740740744,3,0.000949030329735649,0,1,0
1,0,0,0,0.004762587445423206,0.5838803524573338,4,0.0004203830131494441,0,1,1
3,0,1,0,0.03871980335329142,0.9583333333333339,3,0.23568479450144383,3,0,0
1,3,1,0,0.00308921349620907,0.726851851851853,2,0.1642639326195389,3,1,1
1,3,0,0,0.00037258437767286956,0.4729600052023706,2,0.0013167772055135162,0,1,1
2,1,0,0,0.002554414170521263,0.976851851851853,4,0.10357653784757119,3,1,0
1,2,1,0,0.005720442075976173,0.20127686040098075,1,0.32216032169955144,3,1,1
1,0,0,0,0.00918466515084581,0.950922553810599,2,0.3343562869156563,3,1,1
3,0,1,0,0.005062324051852283,0.31944444444444464,2,0.001264194918306613,0,1,0
1,3,0,0,0.0015729273628320994,0.27733557858479085,3,0.2968698825742151,3,1,1
1,0,0,0,0.005912688197045317,0.9722222222222232,4,0.37646980375358746,3,1,1
1,3,1,0,0.0016459196638404238,0.9490740740740744,4,0.22376905801729452,3,1,0
2,0,0,0,0.005925975136813958,0.7546296296296298,2,0.0007722910987619248,0,1,0
1,3,0,0,0.0039196472317491425,0.9444444444444446,3,0.22777005256212873,3,1,0
2,3,1,0,0.0023517883390494856,0.9861111111111125,2,0.3680315162571078,3,1,0
1,0,0,0,0.005299828100216743,0.9537037037037042,3,0.5097683809549723,3,1,1
0,3,1,0,0.16590239081872463,0.8888888888888893,2,0.017228299426918142,3,1,0
1,3,0,0,0.009159684103007,0.8194444444444446,1,0.12812475320471414,3,1,0
3,0,1,0,0.005117132678397927,0.9259259259259274,3,0.0027359898100691657,0,1,0
1,0,1,0,0.004079090508972837,0.9305555555555554,4,0.12795248315811003,3,1,1
1,2,0,1,0.0010596334465491325,0.9212962962962976,1,0.505403391925415,3,1,0
3,3,1,0,0.000873229880367463,0.8701606565988688,2,0.19012068127353435,0,1,1
1,0,0,0,0.004812906488836652,0.9273194027599325,1,0.3836705250550666,3,1,1
2,0,1,0,0.0034379956651359005,0.9490740740740744,4,0.07020680541036828,3,1,0
1,3,1,0,0.002381683953528928,0.9166666666666679,1,0.2493419653101301,3,0,0
1,0,1,0,0.006655144808719452,0.5900583021475462,3,0.0015371328352741902,0,1,1
1,0,0,0,0.003997251444453093,0.5108463688608517,2,0.0017400030919071424,0,1,1
